model1,model2,equivalent,not_equivalent,total_valid,equivalent_pct
gemini-1.5-flash_zero_shot,gemini-2.5-flash_zero_shot,75,58,133,56.39
gemini-1.5-flash_zero_shot,gemini-2.5-flash_zero_shot_self_refine,71,60,131,54.2
gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_few_shot,74,42,116,63.79
gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_zero_shot,74,42,116,63.79
gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_zero_shot_self_refine,75,40,115,65.22
gemini-1.5-flash_zero_shot_self_refine,gemini-2.5-flash_few_shot,71,60,131,54.2
gemini-1.5-flash_zero_shot_self_refine,gemini-2.5-flash_zero_shot,72,62,134,53.73
gemini-1.5-flash_zero_shot_self_refine,gemini-2.5-flash_zero_shot_self_refine,67,63,130,51.54
gemini-1.5-pro_few_shot,gemini-1.5-pro_zero_shot,115,6,121,95.04
gemini-1.5-pro_few_shot,gemini-1.5-pro_zero_shot_self_refine,114,7,121,94.21
gemini-1.5-pro_few_shot,gemini-2.5-flash_few_shot,89,30,119,74.79
gemini-1.5-pro_few_shot,gemini-2.5-flash_zero_shot,90,31,121,74.38
gemini-1.5-pro_few_shot,gemini-2.5-flash_zero_shot_self_refine,90,32,122,73.77
gemini-1.5-pro_zero_shot,gemini-1.5-pro_zero_shot_self_refine,114,5,119,95.8
gemini-1.5-pro_zero_shot,gemini-2.5-flash_few_shot,88,31,119,73.95
gemini-1.5-pro_zero_shot,gemini-2.5-flash_zero_shot,89,32,121,73.55
gemini-1.5-pro_zero_shot,gemini-2.5-flash_zero_shot_self_refine,89,32,121,73.55
gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_few_shot,88,30,118,74.58
gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_zero_shot,92,28,120,76.67
gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_zero_shot_self_refine,89,32,121,73.55
gemini-2.5-flash_few_shot,gemini-2.5-flash_zero_shot,111,24,135,82.22
gemini-2.5-flash_few_shot,gemini-2.5-flash_zero_shot_self_refine,115,20,135,85.19
gemini-2.5-flash_zero_shot,gemini-2.5-flash_zero_shot_self_refine,112,22,134,83.58
