Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Generated Response,LLM Response,Standard LTL,Standardized LTL,standard_ltl,LTL Formula
gemini-1.5-pro,zero_shot,x1 cannot be true three states in a row,x1 : x1,G((x1 & X(x1)) -> X(X(!x1))),"```python
formulaToFind = Always(LNot(LAnd(LAnd(x1, Next(x1)), Next(Next(x1)))))
```","formulaToFind = Always(LNot(LAnd(LAnd(x1, Next(x1)), Next(Next(x1)))))","formulaToFind = Always(LNot(LAnd(LAnd(x1, Next(x1)), Next(Next(x1)))))","ERROR: invalid syntax (<unknown>, line 1)",G(!(((x1 & X(x1)) & X(X(x1))))),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,x1 is true in exactly one state.,x1 : x1,F(x1) & G(x1 -> X(G(!x1))),"```python
formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Always(LImplies(Next(Literal(""True"")), LNot(AtomicProposition(""x1""))))))
```","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Always(LImplies(Next(Literal(""True"")), LNot(AtomicProposition(""x1""))))))","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Always(LImplies(Next(Literal(""True"")), LNot(AtomicProposition(""x1""))))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") & G((X(Literal(""True"")) -> !(AtomicProposition(""x1""))))))",F((x1 & G((X(True) -> !(x1)))))
gemini-1.5-pro,zero_shot,"Considering x1 and x2 as two threads both attempting to add lock on a variable. describe the rule that ""No more than one thread can have that lock"". Take true as success on locking and false as failure.","x1 : x1 , x2 : x2",G((x1 & !x2) | (!x1 & x2) | (!x1 & !x2)),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```","formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))","formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G(!((AtomicProposition(""x1"") & AtomicProposition(""x2""))))",G(!((x1 & x2)))
gemini-1.5-pro,zero_shot,Make x2 hold in any and only those states which come after the last state in which x1 holds.,"x1 : x1 , x2 : x2",G (x1-> X(!x1 U X2)),"```python
formulaToFind = LEquiv(x2, LAnd(LNot(Eventually(x1)), Once(x1)))
```","formulaToFind = LEquiv(x2, LAnd(LNot(Eventually(x1)), Once(x1)))","formulaToFind = LEquiv(x2, LAnd(LNot(Eventually(x1)), Once(x1)))","ERROR: invalid syntax (<unknown>, line 1)","LEquiv(x2, LAnd(LNot(Eventually(x1)), Once(x1)))",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"Given a request signal x1, the grant signal x2 should eventually be asserted.","x1 : x1 , x2 : x2",G(x1 -> F(X(x2))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```","formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))","formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))","ERROR: invalid syntax (<unknown>, line 1)","(AtomicProposition(""x1"") -> F(AtomicProposition(""x2"")))",(x1 -> F(x2))
gemini-1.5-pro,zero_shot,"It is never eventually false that if x1 is true then x2 and x3 are true, but only after x4 is true (which will happen).","x1 : x1 , x2 : x2 , x3 : x3",G (F(x4 -> (!(F !x1->(x2 & x3))))),"```python
formulaToFind = Always(Eventually(LNot(LImplies(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))))
```","formulaToFind = Always(Eventually(LNot(LImplies(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))))","formulaToFind = Always(Eventually(LNot(LImplies(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))))","ERROR: invalid syntax (<unknown>, line 1)","G(F(!((AtomicProposition(""x1"") -> (AtomicProposition(""x2"") & AtomicProposition(""x3""))))))",G(F(!((x1 -> (x2 & x3)))))
gemini-1.5-pro,zero_shot,"There are 2 clients who perform read/write on the same file. Only one client can write at a time and while writing no one can read the file. x1 is true if client 1 is writing, x2 is true if client 2 is writing, x3 is true is true if client 1 is reading, x4 is true if client 2 is reading.","x1 : x1 , x2 : x2 , x3 : x3, x4 : x4",G(!(x1 & x3) & !(x2 & x4) !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),"```python
formulaToFind = Always(LAnd(LAnd(LAnd(LImplies(x1, LNot(LOr(x2, LOr(x3, x4)))), LImplies(x2, LNot(LOr(x1, LOr(x3, x4))))), LImplies(x3, LNot(LOr(x1, x2)))), LImplies(x4, LNot(LOr(x1, x2)))))
```","formulaToFind = Always(LAnd(LAnd(LAnd(LImplies(x1, LNot(LOr(x2, LOr(x3, x4)))), LImplies(x2, LNot(LOr(x1, LOr(x3, x4))))), LImplies(x3, LNot(LOr(x1, x2)))), LImplies(x4, LNot(LOr(x1, x2)))))","formulaToFind = Always(LAnd(LAnd(LAnd(LImplies(x1, LNot(LOr(x2, LOr(x3, x4)))), LImplies(x2, LNot(LOr(x1, LOr(x3, x4))))), LImplies(x3, LNot(LOr(x1, x2)))), LImplies(x4, LNot(LOr(x1, x2)))))","ERROR: invalid syntax (<unknown>, line 1)",G(((((x1 -> !((x2 | (x3 | x4)))) & (x2 -> !((x1 | (x3 | x4))))) & (x3 -> !((x1 | x2)))) & (x4 -> !((x1 | x2))))),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,It is always true that x1 is true and that x1 will eventually become false.,x1 : x1,G(x1 &  F(!x1)),"```python
formulaToFind = Always(LAnd(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))))
```","formulaToFind = Always(LAnd(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))))","formulaToFind = Always(LAnd(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") & F(!(AtomicProposition(""x1"")))))",G((x1 & F(!(x1))))
gemini-1.5-pro,zero_shot,The pattern of true and false of x1 in the first 3 entries repeats.,x1 : x1,G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),"```python
formulaToFind = LEquiv(LAnd(x1, Next(LAnd(LNot(x1),Next(x1)))), LAnd(LNot(x1), Next(LAnd(x1,Next(LNot(x1))))))
```","formulaToFind = LEquiv(LAnd(x1, Next(LAnd(LNot(x1),Next(x1)))), LAnd(LNot(x1), Next(LAnd(x1,Next(LNot(x1))))))","formulaToFind = LEquiv(LAnd(x1, Next(LAnd(LNot(x1),Next(x1)))), LAnd(LNot(x1), Next(LAnd(x1,Next(LNot(x1))))))","ERROR: invalid syntax (<unknown>, line 1)","LEquiv(LAnd(x1, Next(LAnd(LNot(x1),Next(x1)))), LAnd(LNot(x1), Next(LAnd(x1,Next(LNot(x1))))))",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"x1 starts true, and then never again becomes true.",x1 : x1,x1 & X(G(!x1)),"```python
formulaToFind = LAnd(x1, Always(LNot(x1)))
```","formulaToFind = LAnd(x1, Always(LNot(x1)))","formulaToFind = LAnd(x1, Always(LNot(x1)))","ERROR: invalid syntax (<unknown>, line 1)",(x1 & G(!(x1))),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"x1 will always be true if x2 is false, unless x3 is also true","x1 : x1 , x2 : x2 , x3 : x3",G ((!x2 & !x3) -> x1),"```python
formulaToFind = Always(LImplies(LAnd(LNot(AtomicProposition(""x2"")),LNot(AtomicProposition(""x3""))), AtomicProposition(""x1"")))
```","formulaToFind = Always(LImplies(LAnd(LNot(AtomicProposition(""x2"")),LNot(AtomicProposition(""x3""))), AtomicProposition(""x1"")))","formulaToFind = Always(LImplies(LAnd(LNot(AtomicProposition(""x2"")),LNot(AtomicProposition(""x3""))), AtomicProposition(""x1"")))","ERROR: invalid syntax (<unknown>, line 1)","G(((!(AtomicProposition(""x2"")) & !(AtomicProposition(""x3""))) -> AtomicProposition(""x1"")))",G(((!(x2) & !(x3)) -> x1))
gemini-1.5-pro,zero_shot,x1 starts true and is true exactly every third state,x1 : x1,x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),"```python
formulaToFind = LAnd(x1, Always(LEquiv(x1, LNot(Next(Next(Next(x1)))))))
```","formulaToFind = LAnd(x1, Always(LEquiv(x1, LNot(Next(Next(Next(x1)))))))","formulaToFind = LAnd(x1, Always(LEquiv(x1, LNot(Next(Next(Next(x1)))))))","ERROR: invalid syntax (<unknown>, line 1)","(x1 & G(LEquiv(x1, LNot(Next(Next(Next(x1)))))))",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"if x1 is true two times in a row, it is never true again.",x1 : x1,G((x1 & X(x1)) -> X(X(G(!x1)))),"```python
formulaToFind = LNot(Eventually(LAnd(Next(AtomicProposition(""x1"")), LAnd(AtomicProposition(""x1""), Next(Next(AtomicProposition(""x1"")))))))
```","formulaToFind = LNot(Eventually(LAnd(Next(AtomicProposition(""x1"")), LAnd(AtomicProposition(""x1""), Next(Next(AtomicProposition(""x1"")))))))","formulaToFind = LNot(Eventually(LAnd(Next(AtomicProposition(""x1"")), LAnd(AtomicProposition(""x1""), Next(Next(AtomicProposition(""x1"")))))))","ERROR: invalid syntax (<unknown>, line 1)","!(F((X(AtomicProposition(""x1"")) & (AtomicProposition(""x1"") & X(X(AtomicProposition(""x1"")))))))",!(F((X(x1) & (x1 & X(X(x1))))))
gemini-1.5-pro,zero_shot,"There are three people running a relay race. Person x1 will go first, then eventually person x2 will go, then finally x3 will go until the end of the race. Only one person is running in the relay race at once.","x1 : x1 , x2 : x2 , x3 : x3",x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),"```python
formulaToFind = LAnd(LAnd(x1, Eventually(LAnd(LNot(x1), x2))), Eventually(LAnd(LAnd(LNot(x1), LNot(x2)), LAnd(x3, Always(x3)))))
```","formulaToFind = LAnd(LAnd(x1, Eventually(LAnd(LNot(x1), x2))), Eventually(LAnd(LAnd(LNot(x1), LNot(x2)), LAnd(x3, Always(x3)))))","formulaToFind = LAnd(LAnd(x1, Eventually(LAnd(LNot(x1), x2))), Eventually(LAnd(LAnd(LNot(x1), LNot(x2)), LAnd(x3, Always(x3)))))","ERROR: invalid syntax (<unknown>, line 1)",((x1 & F((!(x1) & x2))) & F(((!(x1) & !(x2)) & (x3 & G(x3))))),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"For a while, it is never the case that x1 is true and x2 is false at the same time, but after a certain point, x2 will eventually always be true.","x1 : x1 , x2 : x2",!(x1 & !x2) U (F(G(x2))),"```python
formulaToFind = Eventually(Always(LNot(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))
```","formulaToFind = Eventually(Always(LNot(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))","formulaToFind = Eventually(Always(LNot(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))","ERROR: invalid syntax (<unknown>, line 1)","F(G(!((AtomicProposition(""x1"") & !(AtomicProposition(""x2""))))))",F(G(!((x1 & !(x2)))))
gemini-1.5-pro,zero_shot,if x1 is true at the beginning then x2 is true at the end,"x1 : x1 , x2 : x2",G(x1->F(x2)),"```python
formulaToFind = LImplies(x1, Eventually(x2))
```","formulaToFind = LImplies(x1, Eventually(x2))","formulaToFind = LImplies(x1, Eventually(x2))","ERROR: invalid syntax (<unknown>, line 1)",(x1 -> F(x2)),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,x2 always holds if x1 and x3 do not hold,"x1 : x1 , x2 : x2 , x3 : x3",(!x1 & !x3) -> G(x2),"```python
formulaToFind = LImplies(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x3""))), Always(AtomicProposition(""x2"")))
```","formulaToFind = LImplies(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x3""))), Always(AtomicProposition(""x2"")))","formulaToFind = LImplies(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x3""))), Always(AtomicProposition(""x2"")))","ERROR: invalid syntax (<unknown>, line 1)","((!(AtomicProposition(""x1"")) & !(AtomicProposition(""x3""))) -> G(AtomicProposition(""x2"")))",((!(x1) & !(x3)) -> G(x2))
gemini-1.5-pro,zero_shot,"x2 is always true, whereas x1 is only sometimes true.","x1 : x1 , x2 : x2",G(x2) & F(x1) & F(!x1),"```python
formulaToFind = LAnd(Always(AtomicProposition(""x2"")), Eventually(AtomicProposition(""x1"")))
```","formulaToFind = LAnd(Always(AtomicProposition(""x2"")), Eventually(AtomicProposition(""x1"")))","formulaToFind = LAnd(Always(AtomicProposition(""x2"")), Eventually(AtomicProposition(""x1"")))","ERROR: invalid syntax (<unknown>, line 1)","(G(AtomicProposition(""x2"")) & F(AtomicProposition(""x1"")))",(G(x2) & F(x1))
gemini-1.5-pro,zero_shot,"If x1 is true, then x2 must have just transitioned from true to false.","x1 : x1 , x2 : x2",G(X(x1) -> (x2 & !X(x2))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Yesterday(AtomicProposition(""x2"")), LNot(AtomicProposition(""x2""))))
```","formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Yesterday(AtomicProposition(""x2"")), LNot(AtomicProposition(""x2""))))","formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Yesterday(AtomicProposition(""x2"")), LNot(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","(AtomicProposition(""x1"") -> (Y(AtomicProposition(""x2"")) & !(AtomicProposition(""x2""))))",(x1 -> (Y(x2) & !(x2)))
gemini-1.5-pro,zero_shot,trace of x1 is repeated with with the period of 5 (x at time t+5 will always be x at t),x1 : x1,G(x1<->X(X(X(X(X(x1)))))),"```python
formulaToFind = Always(LEquiv(x1, Next(Next(Next(Next(Next(x1)))))))
```","formulaToFind = Always(LEquiv(x1, Next(Next(Next(Next(Next(x1)))))))","formulaToFind = Always(LEquiv(x1, Next(Next(Next(Next(Next(x1)))))))","ERROR: invalid syntax (<unknown>, line 1)","G(LEquiv(x1, Next(Next(Next(Next(Next(x1)))))))",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"x1 will never be true or it'll keep being true, at least occasionally, forever",x1 : x1,G(!x1) | G(F(x1)),"```python
formulaToFind = LOr(LNot(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))
```","formulaToFind = LOr(LNot(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))","formulaToFind = LOr(LNot(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","(!(F(AtomicProposition(""x1""))) | G(F(AtomicProposition(""x1""))))",(!(F(x1)) | G(F(x1)))
gemini-1.5-pro,zero_shot,"Whenever x1 is true, x1 is false and x2 is true in the state after; whenever x2 is true, x1 is false and x1 is true in the state after","x1 : x1 , x2 : x2",G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),"```python
formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Next(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")))), LImplies(AtomicProposition(""x2""), Next(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x1"")))))
```","formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Next(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")))), LImplies(AtomicProposition(""x2""), Next(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x1"")))))","formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Next(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")))), LImplies(AtomicProposition(""x2""), Next(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x1"")))))","ERROR: invalid syntax (<unknown>, line 1)","((AtomicProposition(""x1"") -> X((!(AtomicProposition(""x1"")) & AtomicProposition(""x2"")))) & (AtomicProposition(""x2"") -> X((!(AtomicProposition(""x1"")) & AtomicProposition(""x1"")))))",((x1 -> X((!(x1) & x2))) & (x2 -> X((!(x1) & x1))))
gemini-1.5-pro,zero_shot,"If it at least rains once, or on alternating days, (rain being the boolean x1), the bean will eventually sprout (x2).","""rain"" : x1 , ""sprout"" : x2",x1 & X(!x1) | !x1 & X(x1) -> x2,"```python
formulaToFind = LImplies(LOr(Once(AtomicProposition(""x1"")), LEquiv(Next(AtomicProposition(""x1"")), LNot(AtomicProposition(""x1"")))), Eventually(AtomicProposition(""x2"")))
```","formulaToFind = LImplies(LOr(Once(AtomicProposition(""x1"")), LEquiv(Next(AtomicProposition(""x1"")), LNot(AtomicProposition(""x1"")))), Eventually(AtomicProposition(""x2"")))","formulaToFind = LImplies(LOr(Once(AtomicProposition(""x1"")), LEquiv(Next(AtomicProposition(""x1"")), LNot(AtomicProposition(""x1"")))), Eventually(AtomicProposition(""x2"")))","ERROR: invalid syntax (<unknown>, line 1)","((O(AtomicProposition(""x1"")) | LEquiv(Next(AtomicProposition(""x1"")), LNot(AtomicProposition(""x1"")))) -> F(AtomicProposition(""x2"")))",((O(x1) | (X(x1) <-> !(x1))) -> F(x2))
gemini-1.5-pro,zero_shot,x1 is true exactly twice,x1 : x1,F(x1 & X(F(x1 & G(!x1)))),"```python
formulaToFind = LEquiv(LAnd(Eventually(x1), Eventually(LAnd(x1, Next(LNot(x1))))), LNot(Eventually(LAnd(x1, Next(LAnd(x1, Next(x1))))))
```","formulaToFind = LEquiv(LAnd(Eventually(x1), Eventually(LAnd(x1, Next(LNot(x1))))), LNot(Eventually(LAnd(x1, Next(LAnd(x1, Next(x1))))))","formulaToFind = LEquiv(LAnd(Eventually(x1), Eventually(LAnd(x1, Next(LNot(x1))))), LNot(Eventually(LAnd(x1, Next(LAnd(x1, Next(x1))))))","ERROR: invalid syntax (<unknown>, line 1)","LEquiv(LAnd(Eventually(x1), Eventually(LAnd(x1, Next(LNot(x1))))), LNot(Eventually(LAnd(x1, Next(LAnd(x1, Next(x1))))))",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,It is eventually true that x1 is always true when x2 and x3 false.,"x1 : x1 , x2 : x2 , x3 : x3",F(!x2 & !x3 -> G(x1)),"```python
formulaToFind = Eventually(Always(LImplies(LAnd(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))), AtomicProposition(""x1""))))
```","formulaToFind = Eventually(Always(LImplies(LAnd(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))), AtomicProposition(""x1""))))","formulaToFind = Eventually(Always(LImplies(LAnd(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))), AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","F(G(((AtomicProposition(""x2"") & !(AtomicProposition(""x3""))) -> AtomicProposition(""x1""))))",F(G(((x2 & !(x3)) -> x1)))
gemini-1.5-pro,zero_shot,"for every state if x1 is true, then x2 and x3 should be false, if x2 or x3 is true, x1 is false.","x1 : x1 , x2 : x2 , x3 : x3",G(x1->!(x2 & x3) & ((x2 | x3)->!x1)),"```python
formulaToFind = Always(LImplies(x1, LAnd(LNot(x2), LNot(x3))))
```","formulaToFind = Always(LImplies(x1, LAnd(LNot(x2), LNot(x3))))","formulaToFind = Always(LImplies(x1, LAnd(LNot(x2), LNot(x3))))","ERROR: invalid syntax (<unknown>, line 1)",G((x1 -> (!(x2) & !(x3)))),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,x1 is always eventually true unless x2 is false and x3's next state is true,"x1 : x1 , x2 : x2 , x3 : x3",G(F(x1) U (!x2) & X(x3)),"```python
formulaToFind = LImplies(LNot(LAnd(LNot(AtomicProposition(""x2"")), Next(AtomicProposition(""x3"")))), Always(Eventually(AtomicProposition(""x1""))))
```","formulaToFind = LImplies(LNot(LAnd(LNot(AtomicProposition(""x2"")), Next(AtomicProposition(""x3"")))), Always(Eventually(AtomicProposition(""x1""))))","formulaToFind = LImplies(LNot(LAnd(LNot(AtomicProposition(""x2"")), Next(AtomicProposition(""x3"")))), Always(Eventually(AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","(!((!(AtomicProposition(""x2"")) & X(AtomicProposition(""x3"")))) -> G(F(AtomicProposition(""x1""))))",(!((!(x2) & X(x3))) -> G(F(x1)))
