Natural Language,Ground Truth,Atomic Proposition,AST
It is eventually true that x1 is always true when x2 and x3 false.,F(!x2 & !x3 -> G(x1)),"x1 : x1 , x2 : x2 , x3 : x3","Eventually(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x1""))))"
"for every state if x1 is true, then x2 and x3 should be false, if x2 or x3 is true, x1 is false.",G(x1->!(x2 & x3) & ((x2 | x3)->!x1)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),LAnd(Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),Not(AtomicProposition(""x1""))))))"
x1 is always eventually true unless x2 is false and x3's next state is true,G(F(x1) U (!x2) & X(x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LAnd(Until(Eventually(AtomicProposition(""x1"")), Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))))"
It is always the case that x1 happens immediately before x2.,G(x1 -> X(x2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2""))))"
If x1 is true in the next step then x1 will always eventually be true.,G(X(x1) & G(F(x1))),x1 : x1,"Always(LAnd(Next(AtomicProposition(""x1"")),Always(Eventually(AtomicProposition(""x1"")))))"
Either for every 5th time step x1 and x2 is true or for every 3rd time step x3 is true.,X(X(X(X(X(x1 & x2))))) | X(X(X(x3))),"x1 : x1 , x2 : x2 , x3 : x3","LOr(Next(Next(Next(Next(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))),Next(Next(Next(AtomicProposition(""x3"")))))"
It always holds that x1 is true until x2 is false and x3 is true,x1 U (!x2 & x3),"x1 : x1 , x2 : x2 , x3 : x3","Until(AtomicProposition(""x1""), LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))"
x1 is always true until both x2 and x3 once to be true.,x1 U (x2 & x3),"x1 : x1 , x2 : x2 , x3 : x3","Until(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))"
x1 is only true when x2 in the next next state is not true.,G(x1 ->X(X(!x2))),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(Next(Not(AtomicProposition(""x2""))))))"
"when x1 is true, x2 will eventually (but not immediately) be true",x1 -> F(x2),"x1 : x1 , x2 : x2","LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))"
"It's always true that if x1 is true that in the previous state x1 is false, and that x1 was true 2 states ago",G(x1 -> (X(!x1) & X(X(x1)))),x1 : x1,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
x3 is true if and only if x1 and x2 are true in the previous state and x1 and x2 are eventually true.,G (x3 <-> (X(x1 & x2) & F(x1 & x2))),"x1 : x1 , x2 : x2 , x3 : x3","Always(LEquiv(AtomicProposition(""x3""),LAnd(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))"
x1 is sometimes true until x2 is true and must be false after (x1),(x1 U x2) & G(x2 -> F (!x1)),"x1 : x1 , x2 : x2","LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(LImplies(AtomicProposition(""x2""),Eventually(Not(AtomicProposition(""x1""))))))"
"It always holds that after x1 is true, x2 will be true. x3 will not be true until both x1 and x2 are true.",G(x1 ->F(x2)) & G(!x3 U (x1 & x2)),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Always(Until(Not(AtomicProposition(""x3"")), LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
"if (x1 and x2) is eventually true, then x1 is false until it is true. Otherwise, if x2 is eventually true, then x1 is also eventually true.",F(x1 & x2) -> (!x1 U x1) & F(x2)->F(x1),"x1 : x1 , x2 : x2","LImplies(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),LImplies(LAnd(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x1""))))"
"Given states x1, x2, and x3: always transitioning in a cycle (ex. x1 -> x2 -> x3 -> x1 ...)",G(x1->X(x2)) & G(x2->X(x3)) & G(x3->X(x1)),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(LAnd(Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2"")))),Always(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x3""))))),Always(LImplies(AtomicProposition(""x3""),Next(AtomicProposition(""x1"")))))"
"If we know that x1 will eventually be true, then we know that x2 will be true until x1 is true. Otherwise, all we know is that x3 is true.",F(x1)->(x2 U x1) & G(x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(Eventually(AtomicProposition(""x1"")),LAnd(Until(AtomicProposition(""x2""), AtomicProposition(""x1"")),Always(AtomicProposition(""x3""))))"
"When x1 is true, then x3 will become true eventually after x2 is true",G(x1->F(x3 & F(x2))),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),Eventually(LAnd(AtomicProposition(""x3""),Eventually(AtomicProposition(""x2""))))))"
It always holds that x2 is false if x1 is true and x2 is true if x1 is false in the next state,G((x1->!x2) & X(!x1->X(x2))),"x1 : x1 , x2 : x2","Always(LAnd(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),Next(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x2""))))))"
"If any of x1, x2, x3 is true, x4 will be true at some point of time and stay true thereafter",x1 & x2 & x3 -> X(G(x4)),"x1 : x1 , x2 : x2 , x3 : x3, x4 : x4","LImplies(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")),Next(Always(AtomicProposition(""x4""))))"
"When x1, it cannot become x2 immediately or become x3 in less than 3 steps.",G(x1->(X(!x2) & X(x3) & X(X(!x3)))),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))),Next(Next(Not(AtomicProposition(""x3"")))))))"
x1 repeated flips truth values (goes from true to false and back again forever),G((x1 U !x1) & (!x1 U x1)),x1 : x1,"Always(LAnd(Until(AtomicProposition(""x1""), Not(AtomicProposition(""x1""))),Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))"
"if x1 is never true, then x2 and x3 will always alternate which is true, with only one being true at a time.",G(!x1) -> ((x2 -> X(!x2 & x3)) & (x3 ->X(!x3 & x2))),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(Always(Not(AtomicProposition(""x1""))),LAnd(LImplies(AtomicProposition(""x2""),Next(LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))),LImplies(AtomicProposition(""x3""),Next(LAnd(Not(AtomicProposition(""x3"")),AtomicProposition(""x2""))))))"
"if x2 is true and x1 is true and x3 is true, then it eventually holds that x1 and x2 and x3 are always true",x1 & x2 & x3 -> F(x1) & F(x2) & F(x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")),LAnd(LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3""))))"
"if next value of x1 is false, then x2 must just transitioned from true to false, and x3 must just transitioned from false to true",G(X(!x1->((x2 & X(!x2)) & (!x3 & X(x3))))),"x1 : x1 , x2 : x2 , x3 : x3","Always(Next(LImplies(Not(AtomicProposition(""x1"")),LAnd(LAnd(AtomicProposition(""x2""),Next(Not(AtomicProposition(""x2"")))),LAnd(Not(AtomicProposition(""x3"")),Next(AtomicProposition(""x3"")))))))"
"If at some point in time, x1 becomes true and stays true, is it always true that x1 eventually becomes true or is it eventually true that x1 is always true?",G(F(x1) -> (F(x1) | F(G(x1)))),x1 : x1,"Always(LImplies(Eventually(AtomicProposition(""x1"")),LOr(Eventually(AtomicProposition(""x1"")),Eventually(Always(AtomicProposition(""x1""))))))"
"Amy, Barbara, and Catherine are friends who sometimes hang out in the lounge. However, there is an argument going on right now, such that some people will not hang out if certain others are there. Amy will not be present in the lounge if Catherine is there unless Barbara is also there to mediate. If Barbara and Amy are in the lounge together, Catherine will be hanging out with Barbara regardless of if they hang in the lounge of not. Eventually however, they will all hang out in the lounge together. Use x1, x2, and x3 to represent if Amy, Barbara, and Catherine are in the lounge respectively.",G((x3->!x1 & x2) & ((x1 & x2) -> x3) & F(x1 & x2 & x3)),"""Amy"" : x1, ""Barbara"" : x2, ""Catherine"" : x3","Always(LAnd(LAnd(LImplies(AtomicProposition(""x3""),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3""))),Eventually(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")))))"
"If x1 is always true, then x2 will always be true until x3 is false",G(x1) -> G(x2) U (!x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(Always(AtomicProposition(""x1"")),Until(Always(AtomicProposition(""x2"")), Not(AtomicProposition(""x3""))))"
x2 and x3 will become true on the same step x1 will become true the step after x2 becomes true x4 will be true until x1 is true x2 will be true at some point,G (F(x2 & x3) & (X (x2 -> X(x1))) & G(x4 U x1) & F(x2)),"x1 : x1 , x2 : x2 , x3 : x3, x4 : x4","Always(LAnd(LAnd(LAnd(Eventually(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),Next(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x1""))))),Always(Until(AtomicProposition(""x4""), AtomicProposition(""x1"")))),Eventually(AtomicProposition(""x2""))))"
"Call x1 the variable of, did I take my medicine? I try to always take my medicine on time, but sometimes I forget. However, I never forget more than once in a row.",G(!x1 -> X(x1)),"""did I take my medicine?"" : x1","Always(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))"
Parents with high education will always have children who would also pursue education.,G(x1 -> G(x2)),"""Parents with high education"" : x1 , ""children who would also pursue education"": x2","Always(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))"
"The variable x1 will be true at least once, but at some point it will never be true again",!x1 U F(x1) & X(G(!x1)),x1 : x1,"LAnd(Until(Not(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))),Next(Always(Not(AtomicProposition(""x1"")))))"
"if x1 is true, x2 and x3 is false",G(x1-> !(x2 & x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))"
"whenever x1 is true, x2 is true until x3 is true and x3 is true if x2 is true.",G((x1->x2 U x3) & (x2->x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LAnd(LImplies(AtomicProposition(""x1""),Until(AtomicProposition(""x2""), AtomicProposition(""x3""))),LImplies(AtomicProposition(""x2""),AtomicProposition(""x3""))))"
"If x1's next state is true, x2 will eventually be true",X(x1)->F(x2),"x1 : x1 , x2 : x2","LImplies(Next(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
x1 is always true and x2 is false for at least the first two time steps.,G(x1) & X(X(!x2)),"x1 : x1 , x2 : x2","LAnd(Always(AtomicProposition(""x1"")),Next(Next(Not(AtomicProposition(""x2"")))))"
it is always true that x1 is true until x2 is eventually False,G(x1 U F(x2)),"x1 : x1 , x2 : x2","Always(Until(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))"
"If x1 is eventually true, then x2 will be true at some point after.",F(x1) -> F(x2),"x1 : x1 , x2 : x2","LImplies(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
"It is always the case that when x1 and x2 are true, then sometimes x3 is true.",G(x1 & x2) -> F(x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(Always(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3"")))"
"If it's always sunny outside (x1), then the plants will always eventually grow (x2) and you will also eventually get a sunburn (x3).",G(x1 -> (F(x2) & F(x3))),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),LAnd(Eventually(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x3"")))))"
"x1 is true only when x3 is false, until the reverse is true eventually.",G((x1->!x3) U (!x1->x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(Until(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x3""))), LImplies(Not(AtomicProposition(""x1"")),AtomicProposition(""x3""))))"
The truth value of x1 alternates at each state.,G(x1->X(!x1) | !x1->X(x1)),x1 : x1,"Always(LImplies(AtomicProposition(""x1""),LImplies(LOr(Next(Not(AtomicProposition(""x1""))),Not(AtomicProposition(""x1""))),Next(AtomicProposition(""x1"")))))"
"x1 is true in the next state, or x1 is true in all states.",X(x1) | G(x1),x1 : x1,"LOr(Next(AtomicProposition(""x1"")),Always(AtomicProposition(""x1"")))"
"x1 is always true until x2 is true or x3 is true, and x3 will be true eventually.",G(x1 U (x2 | x3) & F(x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LAnd(Until(AtomicProposition(""x1""), LOr(AtomicProposition(""x2""),AtomicProposition(""x3""))),Eventually(AtomicProposition(""x3""))))"
x3 is always true if x1 and x2 are true in the previous state. x3 will eventually be true.,G((x1 & x2) ->X(x3)) & F(x3),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(Always(LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))),Eventually(AtomicProposition(""x3"")))"
x2 is never true or x2 is true until x1 is true,G(!x2) | G(x2 U x1),"x1 : x1 , x2 : x2","LOr(Always(Not(AtomicProposition(""x2""))),Always(Until(AtomicProposition(""x2""), AtomicProposition(""x1""))))"
Jack got 50 in his midterm exam but he didn't want to fail that course and Jack had 100 in his final.,x1 & x2 & X(x3),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))"
x1 and x2 will eventually become true at the same time.,G(F(x1 & x2)),"x1 : x1 , x2 : x2","Always(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
"Whenever the Red light is on, it turns off in the next state and on again in the state after that.",G (x1 ->(X(!x1) & X(X(x1)))),"""Red light"" : x1","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"The Red light is on in exactly one state, but not necessarily the first state.",( !x1) U (x1 & X(G (!x1))),"""Red light"" : x1","Until(Not(AtomicProposition(""x1"")), LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1""))))))"
The Red light cannot stay lit for three states in a row.,!F(x1 & X(x1 ) & X(X(x1))),"""Red light"" : x1","Not(Eventually(LAnd(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"Whenever the Red light is on, the Blue light will turn on at some point.",G (x1 -> F(x2)),"""Red light"" : x1, ""Blue"": x2","Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
"The Red light is lit for a finite number of steps, and then never again becomes lit.",(x1) U (G(!x1)),"""Red light"" : x1","Until(AtomicProposition(""x1""), Always(Not(AtomicProposition(""x1""))))"
"Whenever the Red light is on, it is off in the next state and on again in the state after that",G(x1 -> X(!x1) & X(X(x1))),"""Red light"" : x1","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"The Red light is on in exactly one state, but not necessarily the first state",F(x1) & G(x1 -> X(G(!x1))),"""Red light"" : x1","LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
The Red light cannot stay on for three states in a row,G(x1 & X(x1) -> X(X(!x1))),"""Red light"" : x1","Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
"Whenever the Red light is on, the Blue light will be on then or at some point in the future",G(x1 -> x2 | F(x2)),"""Red light"" : x1, ""Blue"": x2","Always(LImplies(AtomicProposition(""x1""),LOr(AtomicProposition(""x2""),Eventually(AtomicProposition(""x2"")))))"
"The Red light is on for zero or more states, and then turns off and remains off in the future",F(!x1) & G(!x1 -> X(G(!x1))),"""Red light"" : x1","LAnd(Eventually(Not(AtomicProposition(""x1""))),Always(LImplies(Not(AtomicProposition(""x1"")),Next(Always(Not(AtomicProposition(""x1"")))))))"
"The robot has to go to the cafe on Main street, then stop by a bank, then go to McDonald’s, but only after visiting the bank",F (x1 & F (x2)) & F (x3 & (!x3 U x2)),"""Cafe"" : x1, ""bank"" : x2, ""McDonald's"" : x3","LAnd(Eventually(LAnd(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Eventually(LAnd(AtomicProposition(""x3""),Until(Not(AtomicProposition(""x3"")), AtomicProposition(""x2"")))))"
"Once the pump has been turned been on, an initial pressure reading will be taken and displayed, and thereafter the displayed value for the pressure will be updated every 2 seconds.",G(x1 -> (X(x2) & G(X(X(x3))))),"""Pump on"" : x1, ""initial pressure reading"" : x2, ""update pressure reading"" : x3","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(AtomicProposition(""x2"")),Always(Next(Next(AtomicProposition(""x3"")))))))"
move to the Red,F(x1),"""Red room"" : x1","Eventually(AtomicProposition(""x1""))"
go through blue room to green room,F(x1) & F(x2),"""blue room"" : x1, ""green room"" : x2","LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
go to the blue room but avoid the Red room,F(x1) & G(!x2),"""blue room"" : x1, ""red room"" : x2","LAnd(Eventually(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x2""))))"
go through Red or yellow to get to green,F(x1 | x2) & F(x3),"""Red room"" : x1, ""yellow room"" : x2, ""green room"" : x3","LAnd(Eventually(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3"")))"
