Model,Approach,LTL Formula,AST,Trace,Ground Truth,Raw Response,LLM Response,Initial Prediction,Refined Prediction
gemini-1.5-pro,zero_shot,G(x1 -> F(X(x2))),"Always(LImplies(AtomicProposition(""x1""),Eventually(Next(AtomicProposition(""x2"")))))","[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G (F(x4 -> (!(F !x1->(x2 & x3))))),"Always(Eventually(LImplies(AtomicProposition(""x4""),Not(LImplies(Eventually(Not(AtomicProposition(""x1""))),LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))))","[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G (F(x4 -> (!(F !x1->(x2 & x3))))),"Always(Eventually(LImplies(AtomicProposition(""x4""),Not(LImplies(Eventually(Not(AtomicProposition(""x1""))),LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))))","[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(!(x1 & x3) & !(x2 & x4) !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),ERROR: Could not parse,"[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive,"UNKNOWN
",UNKNOWN,UNKNOWN,UNKNOWN
gemini-1.5-pro,zero_shot,G(!(x1 & x3) & !(x2 & x4) !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),ERROR: Could not parse,"[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];...",Negative,"UNKNOWN
",UNKNOWN,UNKNOWN,UNKNOWN
gemini-1.5-pro,zero_shot,G(x1 &  F(!x1)),"Always(LAnd(AtomicProposition(""x1""),Eventually(Not(AtomicProposition(""x1"")))))",True,Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(x1 &  F(!x1)),"Always(LAnd(AtomicProposition(""x1""),Eventually(Not(AtomicProposition(""x1"")))))",[x1 = TRUE];[x1 = TRUE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),"Always(LOr(LAnd(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),Next(Next(AtomicProposition(""x1"")))),LAnd(LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1"")))))))",[x1 = TRUE];[x1 = FALSE];...,Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),"Always(LOr(LAnd(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),Next(Next(AtomicProposition(""x1"")))),LAnd(LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1"")))))))",[x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,x1 & X(G(!x1)),"LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"POSITIVE
",Positive,POSITIVE,POSITIVE
gemini-1.5-pro,zero_shot,x1 & X(G(!x1)),"LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))",[x1 = TRUE];[x1 = TRUE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G ((!x2 & !x3) -> x1),"Always(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),AtomicProposition(""x1"")))","[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G ((!x2 & !x3) -> x1),"Always(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),AtomicProposition(""x1"")))","[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),"LAnd(AtomicProposition(""x1""),Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))),Next(Next(Next(AtomicProposition(""x1""))))))))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),"LAnd(AtomicProposition(""x1""),Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))),Next(Next(Next(AtomicProposition(""x1""))))))))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G((x1 & X(x1)) -> X(X(G(!x1)))),"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Always(Not(AtomicProposition(""x1"")))))))",[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G((x1 & X(x1)) -> X(X(G(!x1)))),"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Always(Not(AtomicProposition(""x1"")))))))",[x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),"LImplies(LAnd(AtomicProposition(""x1""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3"")))),LImplies(Eventually(LAnd(AtomicProposition(""x2""),LOr(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))))),LAnd(Eventually(LAnd(AtomicProposition(""x3""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Always(AtomicProposition(""x3"")))))","[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Positive,"POSITIVE
",Positive,POSITIVE,POSITIVE
gemini-1.5-pro,zero_shot,x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),"LImplies(LAnd(AtomicProposition(""x1""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3"")))),LImplies(Eventually(LAnd(AtomicProposition(""x2""),LOr(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))))),LAnd(Eventually(LAnd(AtomicProposition(""x3""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Always(AtomicProposition(""x3"")))))","[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,!(x1 & !x2) U (F(G(x2))),"Until(Not(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))), Eventually(Always(AtomicProposition(""x2""))))","[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive,"POSITIVE
",Positive,POSITIVE,POSITIVE
gemini-1.5-pro,zero_shot,!(x1 & !x2) U (F(G(x2))),"Until(Not(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))), Eventually(Always(AtomicProposition(""x2""))))","[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];...",Negative,"POSITIVE
",Positive,POSITIVE,POSITIVE
gemini-1.5-pro,zero_shot,G(x1->F(x2)),"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))","[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"POSITIVE
",Positive,POSITIVE,POSITIVE
gemini-1.5-pro,zero_shot,G(x1->F(x2)),"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))","[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,(!x1 & !x3) -> G(x2),"LImplies(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x2"")))","[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];...",Positive,"POSITIVE
",Positive,POSITIVE,POSITIVE
gemini-1.5-pro,zero_shot,(!x1 & !x3) -> G(x2),"LImplies(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x2"")))","[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(x2) & F(x1) & F(!x1),"LAnd(LAnd(Always(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x1""))),Eventually(Not(AtomicProposition(""x1""))))","[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(x2) & F(x1) & F(!x1),"LAnd(LAnd(Always(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x1""))),Eventually(Not(AtomicProposition(""x1""))))","[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(X(x1) -> (x2 & !X(x2))),"Always(LImplies(Next(AtomicProposition(""x1"")),LAnd(AtomicProposition(""x2""),Not(Next(AtomicProposition(""x2""))))))","[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(X(x1) -> (x2 & !X(x2))),"Always(LImplies(Next(AtomicProposition(""x1"")),LAnd(AtomicProposition(""x2""),Not(Next(AtomicProposition(""x2""))))))","[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(x1<->X(X(X(X(X(x1)))))),"Always(LEquiv(AtomicProposition(""x1""),Next(Next(Next(Next(Next(AtomicProposition(""x1""))))))))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(x1<->X(X(X(X(X(x1)))))),"Always(LEquiv(AtomicProposition(""x1""),Next(Next(Next(Next(Next(AtomicProposition(""x1""))))))))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(!x1) | G(F(x1)),"LOr(Always(Not(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))",[x1 = TRUE];[x1 = TRUE];...,Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G(!x1) | G(F(x1)),"LOr(Always(Not(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),"Always(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x"")),Next(AtomicProposition(""x2"")))),LImplies(AtomicProposition(""x2""),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))))","[x = TRUE, x1 = FALSE, x2 = TRUE];[x = FALSE, x1 = TRUE, x2 = FALSE];...",Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),"Always(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x"")),Next(AtomicProposition(""x2"")))),LImplies(AtomicProposition(""x2""),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))))","[x = TRUE, x1 = TRUE, x2 = FALSE];[x = FALSE, x1 = FALSE, x2 = FALSE];[x = TRUE, x1 = TRUE, x2 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,x1 & X(!x1) | !x1 & X(x1) -> x2,"LImplies(LOr(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))),AtomicProposition(""x2""))","[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];...",Positive,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
gemini-1.5-pro,zero_shot,x1 & X(!x1) | !x1 & X(x1) -> x2,"LImplies(LOr(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))),AtomicProposition(""x2""))","[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"NEGATIVE
",Negative,NEGATIVE,NEGATIVE
