Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Initial Response,Refined Response,Estimated Cost
gemini-1.5-pro,zero_shot,"Every time x1 was true, previously x2 was true or the previous x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2 | Y(!x3))),"```python
formulaToFind = Historically(LImplies(AtomicProposition(""x1""), LOr(Yesterday(AtomicProposition(""x2"")), Yesterday(LNot(AtomicProposition(""x3""))))))
```",,7939
gemini-1.5-pro,zero_shot,x1 cannot be true three states in a row.,x1: x1,H(!(x1 & Y(x1) & Y(Y(x1)))),"```python
formulaToFind = LNot(LAnd(LAnd(Yesterday(Yesterday(AtomicProposition(""x1""))), Yesterday(AtomicProposition(""x1""))), AtomicProposition(""x1"")))
```",,7881
gemini-1.5-pro,zero_shot,x1 was true in exactly one state.,x1: x1,O(x1) & H(!x1 S x1) & H(!x1),"```python
formulaToFind = LEquiv(Once(x1), LNot(Historically(x1)))
```",,7790
gemini-1.5-pro,zero_shot,No more than one thread can have that lock.,"x1: x1, x2: x2",H(!(x1 & x2)),"```python
formulaToFind = LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")))
```
",,7829
gemini-1.5-pro,zero_shot,Make x2 held in any and only those states which come before the last state in which x1 held.,"x1: x1, x2: x2",H(x2 <-> O(x1 & H(!x1))),"```python
formulaToFind = LEquiv(x2, Since(Literal(""True""),LNot(Yesterday(x1))))
```",,7871
gemini-1.5-pro,zero_shot,"Given a request signal x1, the grant signal x2 should previously be asserted.","x1: x1, x2: x2",H(x1 -> O(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Yesterday(AtomicProposition(""x2"")))
```",,7871
gemini-1.5-pro,zero_shot,"It was never previously false that if x1 was true then x2 and x3 are true, but only before x4 was true (which will happen).","x1: x1, x2: x2, x3: x3, x4: x4",H(!O(x1 & !(x2 & x3)) S x4),"```python
formulaToFind = Historically(LNot(LNot(LImplies(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))))
```",,7979
gemini-1.5-pro,zero_shot,"There are 2 clients who perform read/write on the same file. Only one client can write at a time and while writing no one can read the file. x1 was true if client 1 was writing, x2 was true if client 2 was writing, x3 was true was true if client 1 was reading, x4 was true if client 2 was reading.","x1: x1, x2: x2, x3: x3, x4: x4",H(!(x1 & x2) & !(x1 & (x3 | x4)) & !(x2 & (x3 | x4))),"```python
formulaToFind = Historically(LAnd(LAnd(LImplies(x1, LNot(LOr(x3, x4))), LImplies(x2, LNot(LOr(x3, x4)))), LNot(LAnd(x1, x2))))
```",,8148
gemini-1.5-pro,zero_shot,It was historically true that x1 was true and that x1 will previously become false.,x1: x1,H(x1) & O(!x1),"```python
formulaToFind = Historically(LAnd(AtomicProposition(""x1""), Yesterday(LNot(AtomicProposition(""x1"")))))
```",,7885
gemini-1.5-pro,zero_shot,The pattern of true and false of x1 in the first 3 entries repeats.,x1: x1,H((x1 & Y(!x1) & Y(Y(x1))) <-> Y(Y(Y(x1 & Y(!x1) & Y(Y(x1))))),"```python
formulaToFind = LEquiv(LAnd(x1, Yesterday(Yesterday(x1))), LAnd(LNot(x1), Yesterday(Yesterday(LNot(x1)))))
```",,7874
gemini-1.5-pro,zero_shot,"x1 starts true, and then never again becomes true.",x1: x1,x1 & H(!x1),"```python
formulaToFind = LAnd(x1, LNot(Once(x1)))
```",,7791
gemini-1.5-pro,zero_shot,"x1 will historically be true if x2 was false, unless x3 was also true.","x1: x1, x2: x2, x3: x3",H((!x2 & !x3) -> x1),"```python
formulaToFind = LImplies(LAnd(Historically(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2""))), LNot(AtomicProposition(""x3"")))
```",,7918
gemini-1.5-pro,zero_shot,x1 starts true and was true exactly every third state.,x1: x1,x1 & H(Y(Y(Y(x1)))) & H(!x1 & !Y(x1) & !Y(Y(x1))),"```python
formulaToFind = LAnd(x1, Historically(LImplies(x1, LAnd(Yesterday(LNot(x1)), Yesterday(Yesterday(LNot(x1)))))))
```",,7866
gemini-1.5-pro,zero_shot,"If x1 was true two times in a row, it was never true again.",x1: x1,H((x1 & Y(x1)) -> H(!x1)),"```python
formulaToFind = LNot(LOr(LAnd(Yesterday(AtomicProposition(""x1"")), AtomicProposition(""x1"")), Since(Literal(""True""), LAnd(Yesterday(AtomicProposition(""x1"")), AtomicProposition(""x1"")))))
```",,7943
gemini-1.5-pro,zero_shot,Only one person was running in the relay race at once.,"x1: x1, x2: x2, x3: x3",H(!(x1 & x2) & !(x2 & x3) & !(x1 & x3)),"```python
formulaToFind = Historically(LOr(LAnd(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))), LNot(AtomicProposition(""x3""))), LOr(LAnd(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")), LNot(AtomicProposition(""x3""))), LAnd(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2""))), AtomicProposition(""x3"")))))
```",,8106
gemini-1.5-pro,zero_shot,"For a while, it was never the case that x1 was true and x2 was false at the same time, but before a certain point, x2 will previously historically be true.","x1: x1, x2: x2",O(H(!(x1 & !x2)) & H(x2)),"```python
formulaToFind = LAnd(Historically(LNot(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))), Once(Historically(AtomicProposition(""x2""))))
```",,8011
gemini-1.5-pro,zero_shot,If x1 was true at the beginning then x2 was true at the end.,"x1: x1, x2: x2",x1 -> O(x2),"```python
formulaToFind = LImplies(Historically(AtomicProposition(""x1"")), Once(AtomicProposition(""x2"")))
```",,7863
gemini-1.5-pro,zero_shot,x2 historically held if x1 and x3 do not held.,"x1: x1, x2: x2, x3: x3",H((!x1 & !x3) -> x2),"```python
formulaToFind = LImplies(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x3""))), Historically(AtomicProposition(""x2"")))
```",,7894
gemini-1.5-pro,zero_shot,"x2 was historically true, whereas x1 was only sometimes true.","x1: x1, x2: x2",H(x2) & O(x1) & H(!x1),"```python
formulaToFind = LAnd(Historically(AtomicProposition(""x2"")), Once(AtomicProposition(""x1"")))
```
",,7861
gemini-1.5-pro,zero_shot,"If x1 was true, then x2 must have just transitioned from true to false.","x1: x1, x2: x2",H(x1 -> Y(x2 & !x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Yesterday(AtomicProposition(""x2"")), LNot(AtomicProposition(""x2""))))
```",,7902
gemini-1.5-pro,zero_shot,Trace of x1 was repeated with a period of 5 (x1 at time t+5 will historically be x1 at t).,x1: x1,H(x1 <-> Y(Y(Y(Y(Y(x1)))))),"```python
formulaToFind = Historically(LEquiv(x1, Yesterday(Yesterday(Yesterday(Yesterday(Yesterday(x1)))))))
```",,7890
gemini-1.5-pro,zero_shot,"x1 will never be true, or it'll keep being true, at least occasionally, has always held.",x1: x1,H(!x1) | H(O(x1)),"```python
formulaToFind = LOr(LNot(Once(AtomicProposition(""x1""))), Historically(Once(AtomicProposition(""x1""))))
```",,7890
gemini-1.5-pro,zero_shot,"Whenever x1 was true, x1 was false and x2 was true in the state before; whenever x2 was true, x1 was false and x1 was true in the state before.","x1: x1, x2: x2",H(x1 -> (!x1 & Y(x2))) & H(x2 -> (!x1 & Y(x1))),"```python
formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Yesterday(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")))), LImplies(AtomicProposition(""x2""), Yesterday(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x1"")))))
```",,8088
gemini-1.5-pro,zero_shot,"If it at least rains once, or on alternating days (rain being the boolean x1), the bean will previously sprout (x2).","x1: x1, x2: x2",O(x1) -> O(x2),"```python
formulaToFind = LImplies(LOr(Once(AtomicProposition(""x1"")), LEquiv(AtomicProposition(""x1""), Yesterday(LNot(AtomicProposition(""x1""))))), Once(Yesterday(AtomicProposition(""x2""))))
```",,8002
gemini-1.5-pro,zero_shot,x1 was true exactly twice.,x1: x1,O(x1) & O(Y(x1)) & H(!Y(Y(x1))),"```python
formulaToFind = LEquiv(LAnd(Once(x1), Once(Yesterday(LAnd(x1, LNot(Once(Yesterday(x1)))))), LNot(Once(Yesterday(LAnd(x1, Once(Yesterday(LAnd(x1, LNot(Once(Yesterday(x1))))))))))
```",,7904
gemini-1.5-pro,zero_shot,It was previously true that x1 was historically true when x2 and x3 are false.,"x1: x1, x2: x2, x3: x3",O(H(x1 & !x2 & !x3)),"```python
formulaToFind = Yesterday(Historically(LImplies(LAnd(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x3""))), AtomicProposition(""x1""))))
```
",,7938
gemini-1.5-pro,zero_shot,"For every state, if x1 was true, then x2 and x3 should be false; if x2 or x3 was true, x1 was false.","x1: x1, x2: x2, x3: x3",H((x1 -> (!x2 & !x3)) & ((x2 | x3) -> !x1)),"```python
formulaToFind = Historically(LImplies(x1, LAnd(LNot(x2), LNot(x3))) & LImplies(LOr(x2, x3), LNot(x1)) )
```",,7920
gemini-1.5-pro,zero_shot,x1 was historically previously true unless x2 was false and x3's previous state was true.,"x1: x1, x2: x2, x3: x3",H(!(!x2 & Y(x3)) -> O(x1)),"```python
formulaToFind = Historically(x1)
```",,7838
gemini-1.5-pro,zero_shot,It was historically the case that x1 happens immediately before x2.,"x1: x1, x2: x2",H(x2 -> Y(x1)),"```python
formulaToFind = Historically(Yesterday(LImplies(x1, x2)))
```
",,7834
gemini-1.5-pro,zero_shot,"If x1 was true in the previous step, then x1 will historically previously be true.","x1: x1, x2: x2, x3: x3",H(Y(x1) -> H(O(x1))),"```python
formulaToFind = LImplies(Yesterday(AtomicProposition(""x1"")), Historically(AtomicProposition(""x1"")))
```",,7898
gemini-1.5-pro,zero_shot,"Either for every 5th time step x1 and x2 are true, or for every 3rd time step x3 was true.","x1: x1, x2: x2, x3: x3",H((Y(Y(Y(Y(Y(x1 & x2)))))) | (Y(Y(Y(x3))))),"```python
formulaToFind = LOr(LAnd(Historically(LImplies(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""),Literal(""True"")))), LAnd(Historically(LImplies(AtomicProposition(""x3""),Literal(""True""))), Literal(""True""))),Literal(""True""))
```",,8032
gemini-1.5-pro,zero_shot,It historically held that x1 was true since x2 was false and x3 was true.,"x1: x1, x2: x2, x3: x3",H(x1 S (!x2 & x3)),"```python
formulaToFind = Historically(Since(AtomicProposition(""x1""), LAnd(LNot(AtomicProposition(""x2"")), AtomicProposition(""x3""))))
```
",,7913
gemini-1.5-pro,zero_shot,x1 was historically true since both x2 and x3 are once true.,"x1: x1, x2: x2, x3: x3",H(x1 S (x2 & x3)),"```python
formulaToFind = Since(Historically(AtomicProposition(""x1"")), LAnd(Once(AtomicProposition(""x2"")), Once(AtomicProposition(""x3""))))
```
",,7906
gemini-1.5-pro,zero_shot,x1 was only true when x2 in the previous previous state was not true.,"x1: x1, x2: x2",H(x1 -> Y(Y(!x2))),"```python
formulaToFind = Historically(LImplies(AtomicProposition(""x1""), LNot(Yesterday(Yesterday(AtomicProposition(""x2""))))))
```
",,7895
gemini-1.5-pro,zero_shot,"When x1 was true, x2 will previously (but not immediately) be true.","x1: x1, x2: x2",H(x1 -> O(Y(x2))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Once(Yesterday(x2)))
```
",,7847
gemini-1.5-pro,zero_shot,"It's historically true that if x1 was true, then in the previous state x1 was false, and x1 was true 2 states ago.",x1: x1,H(x1 -> (Y(!x1) & Y(Y(x1)))),"```python
formulaToFind = Historically(LImplies(AtomicProposition(""x1""), LAnd(Yesterday(LNot(AtomicProposition(""x1""))), Yesterday(Yesterday(AtomicProposition(""x1""))))))
```",,7973
gemini-1.5-pro,zero_shot,x3 was true if and only if x1 and x2 are true in the previous state and x1 and x2 are previously true.,"x1: x1, x2: x2, x3: x3",H(x3 <-> (Y(x1 & x2) & O(x1 & x2))),"```python
formulaToFind = LEquiv(AtomicProposition(""x3""), LAnd(Yesterday(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))), Once(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")))))
```",,8001
gemini-1.5-pro,zero_shot,x1 was sometimes true since x2 was true and must be false before (x1).,"x1: x1, x2: x2",H((x1 S x2) & H(!x1)),"```python
formulaToFind = Since(Once(AtomicProposition(""x1"")), AtomicProposition(""x2""))
```",,7856
gemini-1.5-pro,zero_shot,"It historically held that before x1 was true, x2 will be true. x3 will not be true since both x1 and x2 are true.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2)) & H(x3 -> (x1 & x2)),"```python
formulaToFind = LAnd(Historically(LImplies(Once(AtomicProposition(""x1"")), Once(AtomicProposition(""x2"")))), LNot(Since(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x3""))))
```",,8030
gemini-1.5-pro,zero_shot,"If (x1 and x2) was previously true, then x1 was false since it was true. Otherwwase, if x2 was previously true, then x1 was also previously true.","x1: x1, x2: x2",H((O(x1 & x2) -> (!x1 S (x1 & x2))) & (O(x2) -> O(x1))),"```python
formulaToFind = LImplies(Once(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))), Since(LNot(AtomicProposition(""x1"")), AtomicProposition(""x1"")))
```
",,8004
gemini-1.5-pro,zero_shot,"Given states x1, x2, and x3: historically transitioning in a cycle (e.g., x1 -> x2 -> x3 -> x1 ...).","x1: x1, x2: x2, x3: x3",H((x1 -> Y(x3)) & (x2 -> Y(x1)) & (x3 -> Y(x2))),"```python
formulaToFind = Historically(LImplies(LAnd(LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")), LNot(AtomicProposition(""x3""))), Yesterday(AtomicProposition(""x1""))))
```",,7990
gemini-1.5-pro,zero_shot,"If we know that x1 will previously be true, then we know that x2 will be true since x1 was true. Otherwwase, all we know was that x3 was true.","x1: x1, x2: x2, x3: x3",H((O(x1) -> (x2 S x1)) & (!O(x1) -> x3)),"```python
formulaToFind = LImplies(Once(AtomicProposition(""x1"")), Since(AtomicProposition(""x2""), AtomicProposition(""x1"")))
```",,7971
gemini-1.5-pro,zero_shot,"When x1 was true, then x3 will become true previously before x2 was true.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2 & O(x3))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Since(Once(AtomicProposition(""x3"")), AtomicProposition(""x2"")))
```",,7902
gemini-1.5-pro,zero_shot,It historically held that x2 was false if x1 was true and x2 was true if x1 was false in the previous state.,"x1: x1, x2: x2",H((x1 -> !x2) & (!x1 -> Y(x2))),"```python
formulaToFind = Historically(LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Yesterday(LNot(AtomicProposition(""x1"")))))
```",,7951
gemini-1.5-pro,zero_shot,"If any of x1, x2, x3 was true, x4 will be true at some point and stay true before that.","x1: x1, x2: x2, x3: x3, x4: x4",H((x1 | x2 | x3) -> O(H(x4))),"```python
formulaToFind = LImplies(LOr(LOr(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x3"")), Historically(LImplies(Once(AtomicProposition(""x4"")), AtomicProposition(""x4""))))
```",,8001
gemini-1.5-pro,zero_shot,"When x1, it cannot become x2 immediately or become x3 in less than 3 steps.","x1: x1, x2: x2, x3: x3",H(x1 -> (!Y(x2) & !Y(Y(x3)) & !Y(Y(Y(x3))))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(LNot(Yesterday(AtomicProposition(""x2""))), LNot(LOr(Yesterday(AtomicProposition(""x3"")), Yesterday(Yesterday(AtomicProposition(""x3""))), Yesterday(Yesterday(Yesterday(AtomicProposition(""x3""))))))))
```
",,8042
gemini-1.5-pro,zero_shot,x1 repeatedly flips truth values (goes from true to false and back again as always held).,x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1))),"```python
formulaToFind = Historically(LOr(LAnd(x1, Yesterday(LNot(x1))), LAnd(LNot(x1), Yesterday(x1))))
```",,7885
gemini-1.5-pro,zero_shot,"If x1 was never true, then x2 and x3 will historically alternate, with only one being true at a time.","x1: x1, x2: x2, x3: x3",H(!x1 -> ((x2 -> Y(!x3)) & (x3 -> Y(!x2)))),"```python
formulaToFind = LImplies(LNot(Once(AtomicProposition(""x1""))), Historically(LAnd(LOr(LAnd(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))), LAnd(LNot(AtomicProposition(""x2"")), AtomicProposition(""x3""))), LNot(LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))))
```",,8090
gemini-1.5-pro,zero_shot,"If x2 was true and x1 was true and x3 was true, then it previously held that x1, x2, and x3 are historically true.","x1: x1, x2: x2, x3: x3",H((x1 & x2 & x3) -> O(H(x1 & x2 & x3))),"```python
formulaToFind = LImplies(LAnd(LAnd(AtomicProposition(""x2""), AtomicProposition(""x1"")), AtomicProposition(""x3"")), Yesterday(Historically(LAnd(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x3"")))))
```",,8054
gemini-1.5-pro,zero_shot,"If the previous value of x1 was false, then x2 must have just transitioned from true to false, and x3 must have just transitioned from false to true.","x1: x1, x2: x2, x3: x3",H(Y(!x1) -> (Y(x2 & !x2) & Y(!x3 & x3))),"```python
formulaToFind = LImplies(Yesterday(LNot(AtomicProposition(""x1""))), LAnd(LAnd(Yesterday(AtomicProposition(""x2"")), LNot(AtomicProposition(""x2""))), LAnd(LNot(Yesterday(AtomicProposition(""x3""))), AtomicProposition(""x3""))))
```",,8084
gemini-1.5-pro,zero_shot,"If at some point in time, x1 becomes true and stays true, was it historically true that x1 previously becomes true or was it previously true that x1 was historically true?",x1: x1,H(O(H(x1)) | H(O(x1))),"```python
formulaToFind = LImplies(LAnd(Once(x1), Historically(x1)), LOr(Once(x1), Once(Historically(x1))))
```",,7969
gemini-1.5-pro,zero_shot,Amy will not be present in the lounge if Catherine was there unless Barbara was also there to mediate.,"“Amy”: x1, “Barbara”: x2, “Catherine”: x3",H((x3 & !x2) -> !x1),"```python
formulaToFind = LImplies(Historically(x3), LImplies(LNot(x2), LNot(x1)))
```",,7910
gemini-1.5-pro,zero_shot,"If Barbara and Amy are in the lounge together, Catherine will be hanging out with Barbara regardless of if they hang in the lounge or not.","“Amy”: x1, “Barbara”: x2, “Catherine”: x3",H((x1 & x2) -> x3),"```python
formulaToFind = LImplies(LAnd(x1, x2), LAnd(x2, x3))
```",,7926
gemini-1.5-pro,zero_shot,"Previously, they will all hang out in the lounge together.","x1: x1, x2: x2, x3: x3",O(x1 & x2 & x3),"```python
formulaToFind = Once(LAnd(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x3"")))
```",,7882
gemini-1.5-pro,zero_shot,"If x1 was historically true, then x2 will historically be true since x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> (x2 S !x3)),"```python
formulaToFind = LImplies(Historically(AtomicProposition(""x1"")), Since(Historically(AtomicProposition(""x2"")), LNot(AtomicProposition(""x3""))))
```
",,7940
gemini-1.5-pro,zero_shot,x2 and x3 will become true on the same step; x1 will become true the step before x2 becomes true; x4 will be true since x1 was true; x2 will be true at some point.,"x1: x1, x2: x2, x3: x3, x4: x4",O(x2 & x3) & H(Y(x2) -> x1) & H(x4 S x1) & O(x2),"```python
formulaToFind = LAnd(LAnd(LAnd(Once(LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))), Yesterday(AtomicProposition(""x1""), AtomicProposition(""x2""))), Since(AtomicProposition(""x4""), AtomicProposition(""x1""))), Once(AtomicProposition(""x2"")))
```",,8131
gemini-1.5-pro,zero_shot,"Call x1 the variable of, did I take my medicine? I try to historically take my medicine on time, but sometimes I forget. However, I never forget more than once in a row.",x1: x1,H(!x1 -> Y(x1)),"```python
formulaToFind = Historically(LImplies(LNot(AtomicProposition(""x1"")), Yesterday(AtomicProposition(""x1""))))
```",,7975
gemini-1.5-pro,zero_shot,Parents with high education will historically have children who would also pursue education.,"x1: x1, x2: x2",H(x1 -> x2),"```python
formulaToFind = Historically(LImplies(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x1"")))
```",,7920
gemini-1.5-pro,zero_shot,"The variable x1 will be true at least once, but at some point it will never be true again.",x1: x1,O(x1) & H(!x1),"```python
formulaToFind = LAnd(Once(AtomicProposition(""x1"")), Once(LNot(AtomicProposition(""x1""))))
```",,7879
gemini-1.5-pro,zero_shot,"If x1 was true, x2 and x3 were false.","x1: x1, x2: x2, x3: x3",H(x1 -> (!x2 & !x3)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x3""))))
```",,7871
gemini-1.5-pro,zero_shot,"Whenever x1 was true, x2 was true since x3 was true, and x3 was true if x2 was true.","x1: x1, x2: x2, x3: x3",H(x1 -> (x2 S x3)) & H(x2 -> x3),"```python
formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Since(AtomicProposition(""x2""), AtomicProposition(""x3""))), LImplies(AtomicProposition(""x2""), AtomicProposition(""x3"")))
```",,7973
gemini-1.5-pro,zero_shot,"If x1's previous state was true, x2 will previously be true.","x1: x1, x2: x2",H(Y(x1) -> O(x2)),"```python
formulaToFind = LImplies(Yesterday(AtomicProposition(""x1"")), Yesterday(AtomicProposition(""x2"")))
```
",,7866
gemini-1.5-pro,zero_shot,x1 was historically true and x2 was false for at least the first two time steps.,"x1: x1, x2: x2",H(x1) & Y(!x2) & Y(Y(!x2)),"```python
formulaToFind = LAnd(Historically(AtomicProposition(""x1"")), LAnd(LNot(AtomicProposition(""x2"")), Yesterday(LNot(AtomicProposition(""x2"")))))
```",,7927
gemini-1.5-pro,zero_shot,It was historically true that x1 was true since x2 was previously false.,"x1: x1, x2: x2",H(x1 S O(!x2)),"```python
formulaToFind = Historically(Since(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))
```
",,7873
gemini-1.5-pro,zero_shot,"If x1 was previously true, then x2 will be true at some point before.","x1: x1, x2: x2",O(x1) -> O(x2),"```python
formulaToFind = LImplies(Once(AtomicProposition(""x1"")), Once(AtomicProposition(""x2"")))
```
",,7865
gemini-1.5-pro,zero_shot,"It was historically the case that when x1 and x2 are true, then sometimes x3 was true.","x1: x1, x2: x2, x3: x3",H((x1 & x2) -> O(x3)),"```python
formulaToFind = Historically(LImplies(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), Once(AtomicProposition(""x3""))))
```",,7928
gemini-1.5-pro,zero_shot,"If it's historically sunny outside (x1), then the plants will historically previously grow (x2) and you will also previously get a sunburn (x3).","x1: x1, x2: x2, x3: x3",H(x1 -> (O(x2) & O(x3))),"```python
formulaToFind = LImplies(Historically(AtomicProposition(""x1"")), LAnd(Historically(Yesterday(AtomicProposition(""x2""))), Historically(Yesterday(AtomicProposition(""x3"")))))
```
",,8031
gemini-1.5-pro,zero_shot,"x1 was true only when x3 was false, since the reverse was true previously.","x1: x1, x2: x2, x3: x3",H(x1 -> !x3) S O(x3),"```python
formulaToFind = Since(LImplies(AtomicProposition(""x3""), LNot(AtomicProposition(""x1""))), LImplies(LNot(AtomicProposition(""x3"")), AtomicProposition(""x1"")))
```
",,7945
gemini-1.5-pro,zero_shot,The truth value of x1 alternates at each state.,x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1))),"```python
formulaToFind = LAnd(LOr(LAnd(AtomicProposition(""x1""), Yesterday(LNot(AtomicProposition(""x1"")))), LAnd(LNot(AtomicProposition(""x1"")), Yesterday(AtomicProposition(""x1"")))), Historically(LOr(LAnd(AtomicProposition(""x1""), Yesterday(LNot(AtomicProposition(""x1"")))), LAnd(LNot(AtomicProposition(""x1"")), Yesterday(AtomicProposition(""x1""))))))
```",,8084
gemini-1.5-pro,zero_shot,"x1 was true in the previous state, or x1 was true in all states.",x1: x1,H(Y(x1) | H(x1)),"```python
formulaToFind = LOr(Yesterday(AtomicProposition(""x1"")), Historically(AtomicProposition(""x1"")))
```",,7859
gemini-1.5-pro,zero_shot,"x1 was historically true since x2 was true or x3 was true, and x3 will be true previously.","x1: x1, x2: x2, x3: x3",H(x1 S (x2 | x3)) & O(x3),"```python
formulaToFind = LAnd(Since(Historically(AtomicProposition(""x1"")), LOr(AtomicProposition(""x2""), AtomicProposition(""x3""))), Yesterday(AtomicProposition(""x3"")))
```
",,7965
gemini-1.5-pro,zero_shot,x3 was historically true if x1 and x2 are true in the previous state. x3 will previously be true.,"x1: x1, x2: x2, x3: x3",H((Y(x1 & x2)) -> x3) & O(x3),"```python
formulaToFind = LAnd(LImplies(Yesterday(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))), Historically(AtomicProposition(""x3""))), Once(AtomicProposition(""x3"")))
```",,7981
