Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Generated Response,LLM Response
gemini-1.5-pro,zero_shot,A should occur exactly once,A : x1,F(x1 & G(X(!x1))),"```python
formulaToFind = Eventually(x1)
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,Every process that is enabled infinitely often gets its turn infinitely often,“Every process enabled” : x1; “Every process get turn” : x2,G(F(x1)) -> G(F(x2)),"```python
formulaToFind = LImplies(LAlways(LEventually(AtomicProposition(""x1""))), LAlways(LEventually(AtomicProposition(""x2""))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,A should never occur,A : x1,G(!x1),"```python
formulaToFind = LNot(Eventually(AtomicProposition(""x1"")))
```",!(F(x1))
gemini-1.5-pro,zero_shot,Every process that requests access to the critical section will eventually be able to do so,"""Process requests access” : x1; ""Process is in its critical section” : x2",G(x1 -> x2),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,"“Process is enabled” : x1; ""Process gets its turn” : x2",G(G(x1) -> F(x2)),"```python
formulaToFind = Always(LImplies(Eventually(Always(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2"")))))
```",G((F(G(x1)) -> G(F(x2))))
gemini-1.5-pro,zero_shot,Each traffic light is green infinitely often,“Traffic light is Green1” x1; “Traffic light is Green2” x2,G(F(x1))&G(F(x2)),"```python
formulaToFind = LAnd(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) & G(F(x2)))
gemini-1.5-pro,zero_shot,"Whenever the input x is continuously high, then the output y is infinitely often high",x : x1; y : x2,G(G(x1)->G(F(x2))),"```python
formulaToFind = Always(LImplies(Always(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2""))))
```",G((G(x1) -> F(x2)))
gemini-1.5-pro,zero_shot,A should eventually be followed by B,A : x1; B : x2,G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,A and B alternate infinitely often,A : x1; B : x2,G(F(x1)) & G(F(x2) &  G(X1 -> X(!x1 U x2)) & G (x2 -> X(!x2 U x1)),"```python
formulaToFind = Always(LOr(LAnd(Next(AtomicProposition(""x1"")), AtomicProposition(""x2"")), LAnd(Next(AtomicProposition(""x2"")), AtomicProposition(""x1""))))
```",G(((X(x1) & x2) | (X(x2) & x1)))
gemini-1.5-pro,zero_shot,"Whenever currently r2=0, then it will never be the case that after the next input r1=1",“r2=0” : x1; “r1=1” : x2,G(x1-> X(!(x2))),"```python
formulaToFind = Always(LImplies(x1, LNot(Next(Eventually(x2)))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,It is never the case that two successive outputs are high. ,“Output is high” : x1,G!(x1 & X(x1)),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), Next(AtomicProposition(""x1"")))))
```",G(!((x1 & X(x1))))
gemini-1.5-pro,zero_shot,The car stops once the driver pushes the brake,“Car stops” : x1; “Push car brakes” : x2,G(x2 -> F(x1)),"```python
formulaToFind = LImplies(AtomicProposition(""x2""), Eventually(AtomicProposition(""x1"")))
```",(x2 -> F(x1))
gemini-1.5-pro,zero_shot,The configuration with x=1 and r1=0 never occurs.,“x=1” : x1; “r1=0” : x2,G(!(x1&x2)),"```python
formulaToFind = LNot(Eventually(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",!(F((x1 & x2)))
gemini-1.5-pro,zero_shot,The message is received after it has been sent,“Message received” : x1; “Message has been sent” : x2,G(x2 - > F(x1)),"```python
formulaToFind = Eventually(LImplies(AtomicProposition(""x2""), Eventually(AtomicProposition(""x1""))))
```",F((x2 -> F(x1)))
gemini-1.5-pro,zero_shot,"Once red, the light cannot become green immediately",“Red” : x1; “Green” : x2,G(x1 -> X(!x2)),"```python
formulaToFind = Always(LImplies(Once(AtomicProposition(""x1"")), LNot(Next(AtomicProposition(""x2"")))))
```",G((O(x1) -> !(X(x2))))
gemini-1.5-pro,zero_shot,every request will eventually lead to a response,“Request” : x1; “Response” : x2,G (x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,"Whenever message m is in the out-buffer of S, then m will eventually be consumed by the receiver","""Message m is in the out-buffer of S” : x1; ""Message m is consumed by the receiver” : x2",G (x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,"once red, the light always becomes green eventually after being yellow for some time",“Red” : x1; “Yellow” : x2; “Green” : x3,G(x1 -> (x1 U (x2 & (x2 U x3)))),"```python
formulaToFind = Once(LImplies(AtomicProposition(""x1""), Always(Eventually(LAnd(AtomicProposition(""x2""), Until(AtomicProposition(""x2""), AtomicProposition(""x3"")))))))
```",O((x1 -> G(F((x2 & (x2 U x3))))))
gemini-1.5-pro,zero_shot,Message m cannot be in both buffers at the same time,"""Message m is in the out-buffer of S” : x1; ”Message m is in the in-buffer of R” : x2",G!(x1 & x2),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",G(!((x1 & x2)))
gemini-1.5-pro,zero_shot,There will be enough leaders in due time,“EnoughLeaders” : x1,G(F(x1)),"```python
formulaToFind = Eventually(AtomicProposition(""x1""))
```",F(x1)
gemini-1.5-pro,zero_shot,There must always be at most one leader,“At Most One Leader” : x1,G(x1),"```python
formulaToFind = Always(AtomicProposition(""x1""))
```",G(x1)
gemini-1.5-pro,zero_shot,In the presence of an active process with a higher identity the leader will resign at some time,"""There is an active process with a higher identity” : x1 ; ""The leader resigns” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(x1, Eventually(x2))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,There is always one leader,“Leader” : x1,G(x1),"```python
formulaToFind = Always(LOr(LAnd(x1, LNot(Next(x1))), LAnd(LNot(x1), Next(x1))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,a user can print only for a finite amount of time,“A User Can Print” : x1,G(x1 -> F(!x2)),"```python
formulaToFind = Eventually(Always(LNot(AtomicProposition(""x1""))))
```",F(G(!(x1)))
gemini-1.5-pro,zero_shot,A new leader will be an improvement over the previous one,“NewLeader” : x1; “ImprovementOverPreviousLeader” : x2,G(x1->x2),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Next(AtomicProposition(""x2""))))
```",G((x1 -> X(x2)))
gemini-1.5-pro,zero_shot,"if a user wants to print something, he/she eventually is able to do so. ",“A User Wants To Print” : x1; “A User Can Print” : x2,G(x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```",(x1 -> F(x2))
gemini-1.5-pro,zero_shot,a user can always request to use the printer ,“A user makes a request” : x1,G(F(x1)),"```python
formulaToFind = Always(AtomicProposition(""x1""))
```",G(x1)
gemini-1.5-pro,zero_shot,"If message m is offered first by S to its output buffer S.out and subsequently m , then m will be received by R before m","""Message m1 is offered by S” : x1 ; ”Message m2 is offered by S” : x2 ; ""Message m1 is received by R” : x3 ; ""Message m2 is received by R” : x4",G((x1 & F(x2)) -> (x3 U x4)),"```python
formulaToFind = LImplies(LAnd(Next(AtomicProposition(""x1"")), Next(Next(AtomicProposition(""x2"")))), Until(LNot(AtomicProposition(""x4"")), AtomicProposition(""x3"")))
```",((X(x1) & X(X(x2))) -> (!(x4) U x3))
gemini-1.5-pro,zero_shot,A requested floor will be served sometime,“Requested floor” : x1 ; “served floor” : x2,G(x1 -> F(x2)),"```python
formulaToFind = Eventually(AtomicProposition(""x1""))
```",F(x1)
gemini-1.5-pro,zero_shot,Floor 0 door is never open if the elevator is not present at floor 0,“Open door of floor 0” : x1 ; “Elevator at floor 0” : x2,G(!x2->!x1),"```python
formulaToFind = Always(LImplies(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1""))))
```",G((!(x2) -> !(x1)))
gemini-1.5-pro,zero_shot,User 1 and 2 must strictly alternate in printing,“User1 prints” : x1 ; “User2 prints” : x2,G(x1 -> X(x2)) & G(x2 -> X(x1)),"```python
formulaToFind = Always(LOr(LAnd(x1, Next(LNot(x1))), LAnd(LNot(x1), Next(x1))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,Again and again the elevator returns to floor 0,“Elevator At floor 0” : x1,G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,zero_shot,x2 holds as least as long as x1 does.,x1 : x1 ; x2 : x2,G (x1 -> (x1 U (!x1 | x2))),"```python
formulaToFind = Always(LImplies(x1, x2))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"When the top floor is requested, the elevator serves it immediately and does not stop on the way there.",“Requested at Top Floor” : x1 ; “Served at Top Floor” : x2 ; “Stops Until Top Floor” : x3,G(x1->X(x2 & G(!x3))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Next(AtomicProposition(""x2"")), LNot(Next(AtomicProposition(""x3"")))))
```",(x1 -> (X(x2) & !(X(x3))))
gemini-1.5-pro,zero_shot,"at the next time where x1 holds, x2 also holds",x1 : x1 ; x2 : x2,G(x1->X(x2)),"```python
formulaToFind = Always(LImplies(Next(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))))
```",G((X(x1) -> X(x2)))
gemini-1.5-pro,zero_shot,"if all reliable processes have the same initial value, then their final value is the same as their common initial value.","""All reliable processes have the same initial value” : x1 ; ”All reliable processes have the same final value, which is equal to the initial value” : x2",G (x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,zero_shot,"Whenever some process is in the inner sanctum, no process is at location l4.",“Process In Inner Sanctum” x1 ; “Process At l4“ : x2,G(x1 -> !x2),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))
```",G((x1 -> !(x2)))
gemini-1.5-pro,zero_shot,"if x1 holds sometime, x2 does so before",x1 : x1 ; x2 : x2,F(x1) -> (!x1 U x2),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Eventually(Until(LNot(AtomicProposition(""x2"")), AtomicProposition(""x1""))))
```",(F(x1) -> F((!(x2) U x1)))
gemini-1.5-pro,zero_shot,the traffic light is infinitely often green,"""The light is green” : x1",G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,zero_shot,each red light phase is preceded by a yellow light phase,"""The light is red” : x1 ; ”The light is yellow” : x2",G (x1 -> Y(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Once(AtomicProposition(""x2""))))
```",G((x1 -> O(x2)))
gemini-1.5-pro,zero_shot,every request will eventually be granted,"“A request is made” : x1 ; ""The request is granted” : x2",G (x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,Invariantly the system never goes down,"""The system is down” : x1",G(!x1),"```python
formulaToFind = Always(LNot(AtomicProposition(""x1"")))
```",G(!(x1))
gemini-1.5-pro,zero_shot,It is always possible to start as new,"""The system can start as new” : x1",G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,zero_shot,The system always eventually goes down and is operational until going down,"""The system is down” : x1",G(F(x1)) & G (!x1 U x1),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,zero_shot,The elevator only services the requested floors and does not move when there is no request.,"""The elevator is moving” : x1 ; ""A floor is requested” : x2 ; ""The elevator is servicing a requested floor” : x3",G (x1 -> x3) & G (!x2 -> !x1),"```python
formulaToFind = Always(LEquiv(x1, x2))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"Each time a button is pressed, there is a corresponding request that needs to be memorized until fulfillment ","""A button is pressed” : x1 ; ""The corresponding request is memorized” : x2 ; ""The request is fulfilled” : x3",G (x1 -> (x2 U x3)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), AtomicProposition(""x3""))))
```",G((x1 -> (x2 U x3)))
gemini-1.5-pro,zero_shot,a floor door is never open if the cabin is not present at the given floor. ,"""The door at floor i is open” : x1 ; ”The cabin is at floor i” : x2",G(!x2 -> !x1 ),"```python
formulaToFind = Always(LImplies(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1""))))
```",G((!(x2) -> !(x1)))
gemini-1.5-pro,zero_shot,A rising edge at the inputs leads to an output pulse,"""A rising edge occurs at the inputs” : x1 ; ”An output pulse occurs” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(x1, Eventually(x2))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,All requests are eventually satisfied,"""A request is made” : x1 ;  ""The request is satisfied” : x2",G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,There is at most one output pulse for each rising edge.,"""A rising edge occurs at the inputs” : x1 ; ”An output pulse occurs” : x2",G(x1 -> (x2 & X(G!(x2)))),"```python
formulaToFind = Always(LImplies(x1, LNot(Next(Until(LNot(x2), LAnd(x2, Next(Eventually(x2)))))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,Possibly the system never goes down,"""The system is down” : x1",F(G(!x1)),"```python
formulaToFind = Eventually(LNot(AtomicProposition(""x1"")))
```",F(!(x1))
gemini-1.5-pro,zero_shot,If a cancel request is sent to the bank by the customer then the bank restores the money to the customers account ,"""A cancel request has been sent” : x1 ; ”The bank restores the money to the customer's account” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```",(x1 -> F(x2))
gemini-1.5-pro,zero_shot,It is not the case that John is home,"""John is home” : x1",!x1,"```python
formulaToFind = LNot(AtomicProposition(""x1""))
```",!(x1)
gemini-1.5-pro,zero_shot,The bank has issued the money but has not been requested either to redeem it or cancel,"""The bank has issued the money” : x1 ; ""A redeem request has been sent” : x2 ; ""A cancel request has been sent” : x3",x1 & G (!x2 & !x3),"```python
formulaToFind = LAnd(AtomicProposition(""x1""), LNot(LOr(AtomicProposition(""x2""), AtomicProposition(""x3""))))
```",(x1 & !((x2 | x3)))
gemini-1.5-pro,zero_shot,"Whenever Rsp(p) is enabled, Do(p) can never become enabled unless a Rsp(p) step eventually occurs.","""Rsp(p) is enabled” : x1 ; “Do(p) is enabled” : x2 ; ""An Rsp(p) step occurs” : x3",G(x1 -> G(x2 -> F(x3))),"```python
formulaToFind = Always(LImplies(x1, Until(LNot(x2), Eventually(x3))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"In the second moment in time, hot will be true.","""Hot is true” : x1",X(X(x1),"```python
formulaToFind = Next(Next(AtomicProposition(""x1"")))
```",X(X(x1))
gemini-1.5-pro,zero_shot,"If the pressurizer water level rises above l0, then the reactor shall be tripped (i.e., shut down) on the next cycle at latest.","""The pressurizer water level rises above l0” : x1 ; “The reactor is tripped” : x2",G(x1 -> (X(x2) |x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Next(AtomicProposition(""x2"")))
```",(x1 -> X(x2))
gemini-1.5-pro,zero_shot,There is at most one rising edge for each output pulse,"""A rising edge occurs at the inputs” : x1 ; ”An output pulse occurs” : x2",G(x2 -> (x1 & X(G(!x1)))),"```python
formulaToFind = Always(LImplies(LAnd(AtomicProposition(""x2""), Next(LNot(AtomicProposition(""x2"")))), Always(LImplies(AtomicProposition(""x2""), LNot(Next(LAnd(AtomicProposition(""x1""), LNot(Next(AtomicProposition(""x1"")))))))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"If steam pressures in either of the steam generators exceed the mean pressure by Δp and emergency feedwater lines are not closed, then the corresponding valve closing signals shall be generated","""Steam pressures exceed the mean pressure by Δp” : x1 ; “Emergency feedwater lines are closed” : x2 ; ""Valve closing signals are generated” : x3",G((x1 & !x2) -> x3),"```python
formulaToFind = Always(LImplies(LAnd(LOr(AtomicProposition(""x1""), AtomicProposition(""x1"")), LNot(AtomicProposition(""x2""))), AtomicProposition(""x3"")))
```",G((((x1 | x1) & !(x2)) -> x3))
gemini-1.5-pro,zero_shot,"In the next moment in time, 'running' will be true and, at some time after that, 'terminated' will be true","""Running is true” :  x1 ; “Terminated is true” : x2",X(x1 & F(x2)),"```python
formulaToFind = LAnd(Next(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2"")))
```",(X(x1) & F(x2))
gemini-1.5-pro,zero_shot,"There is a moment in the future where either 'pink' is always true, or 'brown' is true in the next moment in time.","""Pink is true” : x1 ;  ""Brown is true” : x2",F(G(x1) | X(x2)),"```python
formulaToFind = Eventually(LOr(Always(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))))
```",F((G(x1) | X(x2)))
gemini-1.5-pro,zero_shot,"If a message is sent to a receiver, then the message will eventually be received","""A message is sent” : x1; ”The message is received” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```",(x1 -> F(x2))
gemini-1.5-pro,zero_shot,"Whenever the document has been printed, the system will never try to print it","""The document is printed” : x1 ; ""We try to print a document” : x2",G(x1 -> G(!x2)),"```python
formulaToFind = Always(LImplies(x1, LNot(Eventually(x2))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"It is always the case that, if either have_passport or have_ticket is false, then, in the next moment in time board_fight will also be false","""Have passport is true” : x1 ;  ""Have ticket is true” : x2 ; “Board flight is true” : x3",G((!x1 | !x2) -> X !x3),"```python
formulaToFind = Always(LImplies(LNot(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))), Next(LNot(AtomicProposition(""x3"")))))
```",G((!((x1 | x2)) -> X(!(x3))))
gemini-1.5-pro,zero_shot,"If something is born, then it is living up until the point in time that it becomes dead","""Something is born” : x1 ; ""Something is living” : x2 ;  “Something is dead” : x3",G(x1 -> (x2 U x3)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), AtomicProposition(""x3"")))
```",(x1 -> (x2 U x3))
gemini-1.5-pro,zero_shot,"Eventually, it will stop trying to print the document","""We try to print a document” : x1",F(G(!x1)),"```python
formulaToFind = Eventually(LNot(AtomicProposition(""x1"")))
```",F(!(x1))
gemini-1.5-pro,zero_shot,"Whenever we try to print a document then, at the next moment in time, either the document will be printed or we again try to print it","""The document is printed” : x1 ; ""We try to print a document” : x2",G(x2 -> X(x1 | x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x2""), Next(LOr(AtomicProposition(""x1""), AtomicProposition(""x2"")))))
```",G((x2 -> X((x1 | x2))))
gemini-1.5-pro,zero_shot,Whenever we try to print a document then at some future moment we will not try to print it,"""We try to print a document” : x1",G (x1 -> F !x1),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))))
```",G((x1 -> F(!(x1))))
gemini-1.5-pro,zero_shot,"If it is Tuesday and we are in Liverpool, then it is raining","""It is Tuesday” : x1 ; ”We are in Liverpool” : x2 ; ""It is raining” : x3",G((x1 & x2) -> x3),"```python
formulaToFind = LImplies(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x3""))
```",((x1 & x2) -> x3)
gemini-1.5-pro,zero_shot,"If it is Tuesday, then it will continue raining while we remain in Liverpool","""It is Tuesday” : x1 ; ”We are in Liverpool” : x2 ; ""It is raining” : x3",G(x1 -> (x3 U !x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x3""), AtomicProposition(""x2"")))
```",(x1 -> (x3 U x2))
gemini-1.5-pro,zero_shot,"Eventually, printing will be allowed for some process","""Printing is allowed” : x1",F(x1),"```python
formulaToFind = Eventually(AtomicProposition(""x1""))
```",F(x1)
gemini-1.5-pro,zero_shot,Printing for processes 'a' and 'b' can never occur simultaneously,"""Process a is printing” : x1 ;  ""Process b is printing” : x2",G!(x1 & x2),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",G(!((x1 & x2)))
gemini-1.5-pro,zero_shot,"If a process makes a print request infinitely often, then printing for that process will occur infinitely often","""A process makes a print request” : x1 ; ""Printing for that process occurs” : x2",G(F(x1))-> G(F(x2)),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) -> G(F(x2)))
gemini-1.5-pro,zero_shot,If it is always dark then it is not the case that it is sometimes light,"""It is dark” : x1 ; ""It is light” : x2",G(x1 -> !F(x2)),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), LNot(Eventually(AtomicProposition(""x2""))))
```",(G(x1) -> !(F(x2)))
gemini-1.5-pro,zero_shot,"If it is always the case that when it rains it pours then, if it always rains, it always pours.","""It rains” : x1 ; ”It pours” : x2",G(x1 -> x2) -> (G(x1) -> G(x2)),"```python
formulaToFind = LImplies(Always(LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))), LImplies(Always(AtomicProposition(""x1"")), Always(AtomicProposition(""x2""))))
```",(G((x1 -> x2)) -> (G(x1) -> G(x2)))
gemini-1.5-pro,zero_shot,"If, from the beginning, the sky is always pink, then the sky will be pink whenever it is examined in the future.","""The sky is pink” : x1 ; ""The sky is examined” : x2",G(x1 -> G (x2 -> x1),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), Always(LImplies(AtomicProposition(""x2""), AtomicProposition(""x1""))))
```",(G(x1) -> G((x2 -> x1)))
gemini-1.5-pro,zero_shot,"If, whenever I am happy, I will certainly be happy on the next day, then, if I am happy now, then I will always be happy in the future.","""I am happy” : x1",G (x1 -> X(x1)) -> (x1 -> G(x1)),"```python
formulaToFind = LImplies(LImplies(Always(LImplies(AtomicProposition(""x1""), Next(AtomicProposition(""x1"")))), LImplies(AtomicProposition(""x1""), Always(AtomicProposition(""x1"")))), Literal(""True""))
```",((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True)
gemini-1.5-pro,zero_shot,"If we attempt something infinitely often, then we will succeed infinitely often","""We attempt something” : x1 ; ""We succeed” : x2",G(F(x1)) -> G(F(x2)),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) -> G(F(x2)))
gemini-1.5-pro,zero_shot,"If we attempt something infinitely often, then we will succeed at least once","""We attempt something” : x1 ; ""We succeed” : x2",G(F(x1 -> F(x2))),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Eventually(AtomicProposition(""x2"")))
```",(G(F(x1)) -> F(x2))
gemini-1.5-pro,zero_shot,"If we attempt something continuously, then we will succeed infinitely often","""We attempt something” : x1 ; ""We succeed” : x2",G(x1-> G(F(x2))),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), Always(Eventually(AtomicProposition(""x2""))))
```",(G(x1) -> G(F(x2)))
gemini-1.5-pro,zero_shot,"tomorrow I will be both happy and hungry if, and only if, both tomorrow I will be happy and tomorrow I will hungry.","""I am happy” : x1 ; ""I am hungry” : x2",X(x1 & x2) <-> (X(x1) & X(x2)),"```python
formulaToFind = LEquiv(LAnd(Next(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))), LAnd(Next(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))))
```",((X(x1) & X(x2)) <-> (X(x1) & X(x2)))
gemini-1.5-pro,zero_shot,"If we attempt something continuously, then we will succeed at least once","""We attempt something” : x1 ; ""We succeed” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2"")))
```",(G(x1) -> F(x2))
gemini-1.5-pro,zero_shot,It never happens that a train is arriving and the bar is up,"""A train is arriving” : x1; ""The bar is up” : x2",G(!(x1 & x2)),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",G(!((x1 & x2)))
